Ethnic_Group,Departamento,TOWN (MUNICIPIO),CABECERAS  Y CENTROS POBLADOS (TOWNSHIPS AND MICROTOWNSHIPS),NAME OF THE COMMUNITY COUNCIL OR RESERVATION,NAME OF THE PEOPLE,RECOGNITION RESOLUTION,RECOGNITION DATE,LAND TITLE SITUATION,SOURCE (PUBLIC OFFICE OFFERS INFO),TITLING RESOLUTION,DATE TITLED,NUMBER OF FAMILIES,AREA (blocks?),NUMBER OF PEOPLE(CAN THIS BE CONNECTED WITH CENSUS?),,,,,
AFRO,ATLANTICO,BARANOA,,LAS 300,NOT INFORMED,212,11-Oct-17,REQUESTED,"ANT, DACNARP",,,,,,,,,,
INDIGENA,ATLANTICO,BARANOA,,MOKANA DE BARANOA,MOKANA,NOT INFORMED,NOT INFORMED,Information request unanswered,DAIRM,,,,,,,,,,
INDIGENA,ATLANTICO,BARANOA,,(PITAL DE MEGUA),MOKANA,NOT INFORMED,NOT INFORMED,Information request unanswered,DAIRM,,,,,,,,,,
INDIGENA,ATLANTICO,BARANOA,,(SIBARCO),MOKANA,NOT INFORMED,NOT INFORMED,Information request unanswered,DAIRM,,,,,,,,,,
INDIGENA,ATLANTICO,GALAPA,,MOKANA DE GALAPA,MOKANA,NOT INFORMED,NOT INFORMED,Information request unanswered,DAIRM,,,,,,,,,,
AFRO,ATLANTICO,GALAPA,,NELSON MANDELA,NOT INFORMED,NOT INFORMED,NOT INFORMED,REQUESTED,ANT,,,,,,,,,,
AFRO,ATLANTICO,GALAPA,,CONSEJO COMUNITARIO AGROCOLOMBIANO KUSUTO MAGENDE NR,NOT INFORMED,NOT INFORMED,NOT INFORMED,REQUESTED,ANT,,,,,,,,,,
INDIGENA,ATLANTICO,LA CANDELARIA,,Mokana de Malambo,MOKANA,NOT INFORMED,NOT INFORMED,Information request unanswered,DAIRM,,,,,,,,,,
AFRO,ATLANTICO,LURUACO,,ALEJANDRINA MATUTE,NOT INFORMED,NOT INFORMED,NOT INFORMED,REQUESTED,ANT,,,,,,,,,,
AFRO,ATLANTICO,MALAMBO,,PALMAS DE VARELA,NOT INFORMED,NOT INFORMED,NOT INFORMED,REQUESTED,ANT,,,,,,,,,,
AFRO,ATLANTICO,MANATI,,PALMAR DE VARELA,NOT INFORMED,NOT INFORMED,NOT INFORMED,REQUESTED,ANT,,,,,,,,,,
AFRO,ATLANTICO,PALMAR DE VARELA,,SUTOGUE POLO NUEVO AFRO Y ETNICO,NOT INFORMED,NOT INFORMED,NOT INFORMED,REQUESTED,ANT,,,,,,,,,,
AFRO,ATLANTICO,PALMAR DE VARELA,,AFRO PIOJO,NOT INFORMED,NOT INFORMED,NOT INFORMED,REQUESTED,ANT,,,,,,,,,,
INDIGENA,ATLANTICO,POLO NUEVO,,Mokana de Colombia,MOKANA,NOT INFORMED,NOT INFORMED,Information request unanswered,DAIRM,,,,,,,,,,
AFRO,ATLANTICO,PUEBLO NUEVO,,MAGEN DE MI,NOT INFORMED,NOT INFORMED,NOT INFORMED,REQUESTED,ANT,,,,,,,,,,
AFRO,ATLANTICO,PUERTO COLOMBIA,,JUAN DE NOKUTU DE SAN JOSE DE SACO,NOT INFORMED,NOT INFORMED,NOT INFORMED,REQUESTED,ANT,,,,,,,,,,
AFRO,ATLANTICO,REPELON,,KUSUTO ANE JUE,NOT INFORMED,NOT INFORMED,NOT INFORMED,REQUESTED,ANT,,,,,,,,,,
INDIGENA,ATLANTICO,SAN JUAN DE ACOSTA,,BAJO OSTION,MOKANA,NOT INFORMED,NOT INFORMED,Information request unanswered,DAIRM,,,,,,,,,,
INDIGENA,ATLANTICO,SAN JUAN DE ACOSTA,,(CUATRO BOCAS),MOKANA,NOT INFORMED,NOT INFORMED,Information request unanswered,DAIRM,,,,,,,,,,
INDIGENA,ATLANTICO,TUBARA,,(CORRAL DE SAN LUIS),MOKANA,NOT INFORMED,NOT INFORMED,Information request unanswered,DAIRM,,,,,,,,,,
INDIGENA,ATLANTICO,TUBARA,,(MORRO HERMOSO),MOKANA,NOT INFORMED,NOT INFORMED,Information request unanswered,DAIRM,,,,,,,,,,
INDIGENA,ATLANTICO,TUBARA,,(GUAYMARAL),MOKANA,NOT INFORMED,NOT INFORMED,Information request unanswered,DAIRM,,,,,,,,,,
INDIGENA,ATLANTICO,TUBARA,,(JUARUCO),MOKANA,NOT INFORMED,NOT INFORMED,Information request unanswered,DAIRM,,,,,,,,,,
INDIGENA,ATLANTICO,TUBARA,,(PUERTO CAIMAN),MOKANA,NOT INFORMED,NOT INFORMED,Information request unanswered,DAIRM,,,,,,,,,,
INDIGENA,ATLANTICO,TUBARA,,Tubara,MOKANA,NOT INFORMED,NOT INFORMED,Information request unanswered,DAIRM,,,,,,,,,,
AFRO,BOLIVAR,ALTOS DEL ROSARIO,,Alejandro Duran,NOT INFORMED,NOT INFORMED,NOT INFORMED,TITLED,ANT,2451,9/27/2011,142,36.6828,749,,,,,
AFRO,BOLIVAR,ALTOS DEL ROSARIO,"Pabozas, Portugal, Carnales, PuertoRosario, Quebrada Honda, Empujones, Palmar, Carmon, Mimbre","Pabozas, Portugal, Carnales, PuertoRosario, Quebrada Honda, Empujones, Palmar, Carmon, Mimbre",NOT INFORMED,NOT INFORMED,NOT INFORMED,NOT REQUESTED OR REQUEST LOST,DACNARP,,,,,,,,,,
AFRO,BOLIVAR,ARENAL,,"MANARA GARCIA ""MEPO""",NOT INFORMED,NOT INFORMED,NOT INFORMED,REQUESTED,ANT,,,,,,,,,,
AFRO,BOLIVAR,ARENAL,,CACIMA OLAVE ARRINCON AMELA,NOT INFORMED,NOT INFORMED,NOT INFORMED,REQUESTED,ANT,,,,,,,,,,
AFRO,BOLIVAR,ARJONA,SINCERIN,Consejo Comunitario Comunidad Negra de,NOT INFORMED,NOT INFORMED,NOT INFORMED,REQUESTED,ANT,,,,,,,,,,
AFRO,BOLIVAR,ARJONA,ROCHA,Consejo Comunitario Afrocolombiano de Rocha,NOT INFORMED,NOT INFORMED,NOT INFORMED,REQUESTED,ANT,,,,,,,,,,
AFRO,BOLIVAR,ARJONA,PUERTO BADEL,Consejo Comunitario de Puerto Badel,NOT INFORMED,NOT INFORMED,NOT INFORMED,REQUESTED,ANT,,,,,,,,,,
INDIGENA,BOLIVAR,"ARJONA, SAN JUAN NEPOMUCENO, MAHATES",,GAMBOTE,ZENU,NOT INFORMED,NOT INFORMED,Information request unanswered,DAIRM,,,,,,,,,,
AFRO,BOLIVAR,BARRANCO DE LOBA,,LOS PALENQUES,NOT INFORMED,NOT INFORMED,NOT INFORMED,REQUESTED,ANT,,,,,,,,,,
AFRO,BOLIVAR,BARRANCO DE LOBA,,ANTONIO SAJON,NOT INFORMED,NOT INFORMED,NOT INFORMED,REQUESTED,ANT,,,,,,,,,,
AFRO,BOLIVAR,CALAMAR,"HATO VIEJO, Mandigas, Carretal, Paraiso, Las Brisas, Las Yayas","HATO VIEJO, Mandigas, Carretal, Paraiso, Las Brisas, Las Yayas",NOT INFORMED,NOT INFORMED,NOT INFORMED,NOT REQUESTED OR REQUEST LOST,DACNARP,,,,,,,,,,
