Departamento,Town_Code,Codigo,Municipalities_Townships,Micro_Townships,Category,Size_Blocks,Year Founded,Resolution of the Founding,Originally separated from
Bolivar,13 - 001,13 - 001 - 000,CARTAGENA,Distrito Turístico Y Cultural De Cartagena De Indias,CM,7038,1599,,
Bolivar,13 - 001,13 - 001 - 001,CARTAGENA,Arroyo De Piedra,C,30,,,
Bolivar,13 - 001,13 - 001 - 002,CARTAGENA,Arroyo Grande,C,61,,,
Bolivar,13 - 001,13 - 001 - 003,CARTAGENA,Barú,C,74,,,
Bolivar,13 - 001,13 - 001 - 004,CARTAGENA,Bayunca,C,101,,,
Bolivar,13 - 001,13 - 001 - 005,CARTAGENA,Bocachica,C,86,,,
Bolivar,13 - 001,13 - 001 - 006,CARTAGENA,Caño Del Oro,C,45,,,
Bolivar,13 - 001,13 - 001 - 007,CARTAGENA,Isla Fuerte,C,46,,,
Bolivar,13 - 001,13 - 001 - 008,CARTAGENA,La Boquilla,C,258,,,
Bolivar,13 - 001,13 - 001 - 009,CARTAGENA,Pasacaballos,C,136,,,
Bolivar,13 - 001,13 - 001 - 010,CARTAGENA,Punta Canoa,C,34,,,
Bolivar,13 - 001,13 - 001 - 012,CARTAGENA,Santa Ana,C,48,,,
Bolivar,13 - 001,13 - 001 - 013,CARTAGENA,Tierra Bomba,C,52,,,
Bolivar,13 - 001,13 - 001 - 014,CARTAGENA,Punta Arena,CAS,10,,,
Bolivar,13 - 001,13 - 001 - 015,CARTAGENA,Ararca,CAS,44,,,
Bolivar,13 - 001,13 - 001 - 016,CARTAGENA,Leticia,CAS,,,,
Bolivar,13 - 001,13 - 001 - 017,CARTAGENA,Archipielago De San Bernardo,C,9,,,
Bolivar,13 - 001,13 - 001 - 018,CARTAGENA,El Recreo,CAS,8,,,
Bolivar,13 - 001,13 - 001 - 019,CARTAGENA,Puerto Rey,CAS,17,,,
Bolivar,13 - 001,13 - 001 - 020,CARTAGENA,Pontezuela,C,29,,,
Bolivar,13 - 001,13 - 001 - 021,CARTAGENA,Islas Del Rosario,C,,,,
Bolivar,13 - 001,13 - 001 - 022,CARTAGENA,Palenquillo,CAS,,,,
Bolivar,13 - 001,13 - 001 - 023,CARTAGENA,Piedrecitas,CAS,,,,
Bolivar,13 - 001,13 - 001 - 024,CARTAGENA,Playa Dorada,CAS,,,,
Bolivar,13 - 001,13 - 001 - 026,CARTAGENA,Arroyo De Las Canoas,CAS,8,,,
Bolivar,13 - 001,13 - 001 - 027,CARTAGENA,El Pueblito,CAS,20,,,
Bolivar,13 - 001,13 - 001 - 028,CARTAGENA,Las Europas,CAS,7,,,
Bolivar,13 - 001,13 - 001 - 029,CARTAGENA,Manzanillo Del Mar,CAS,22,,,
Bolivar,13 - 001,13 - 001 - 030,CARTAGENA,Tierra Baja,CAS,23,,,
Bolivar,13 - 001,13 - 001 - 032,CARTAGENA,Boquillita,CP,,,,
Bolivar,13 - 001,13 - 001 - 033,CARTAGENA,Membrillal,CAS,,,,
Bolivar,13 - 006,13 - 006 - 000,ACHI,ACHI,CM,59,1934,Ordenanza 15 de Abril 18 de 1934,
Bolivar,13 - 006,13 - 006 - 002,ACHI,Boyacá,C,3,,,
Bolivar,13 - 006,13 - 006 - 003,ACHI,Buenavista,C,21,,,
Bolivar,13 - 006,13 - 006 - 005,ACHI,Algarrobo,C,,,,
Bolivar,13 - 006,13 - 006 - 007,ACHI,Guacamayo,C,20,,,
Bolivar,13 - 006,13 - 006 - 008,ACHI,Guamo,C,,,,
Bolivar,13 - 006,13 - 006 - 011,ACHI,Playalta,C,25,,,
Bolivar,13 - 006,13 - 006 - 013,ACHI,Río Negro,C,,,,
Bolivar,13 - 006,13 - 006 - 015,ACHI,Tacuyalta,C,,,,
Bolivar,13 - 006,13 - 006 - 017,ACHI,Tres Cruces,C,20,,,
Bolivar,13 - 006,13 - 006 - 019,ACHI,Payandé,C,16,,,
Bolivar,13 - 006,13 - 006 - 020,ACHI,Río Nuevo,C,15,,,
Bolivar,13 - 006,13 - 006 - 021,ACHI,Buenos Aires,C,,,,
Bolivar,13 - 006,13 - 006 - 022,ACHI,Puerto Isabel,C,6,,,
Bolivar,13 - 006,13 - 006 - 029,ACHI,Palenquillo,C,,,,
Bolivar,13 - 006,13 - 006 - 030,ACHI,Centro Alegre,C,8,,,
Bolivar,13 - 006,13 - 006 - 033,ACHI,Puerto Venecia,C,,,,
Bolivar,13 - 006,13 - 006 - 035,ACHI,Santa Lucía,C,,,,
Bolivar,13 - 006,13 - 006 - 038,ACHI,Gallego Arriba,C,,,,
Bolivar,13 - 006,13 - 006 - 039,ACHI,Los Nísperos,C,,,,
Bolivar,13 - 006,13 - 006 - 040,ACHI,Nueva Esperanza,C,,,,
Bolivar,13 - 006,13 - 006 - 041,ACHI,Paraíso Sincerín,C,,,,
Bolivar,13 - 006,13 - 006 - 042,ACHI,Providencia,C,,,,
Bolivar,13 - 006,13 - 006 - 043,ACHI,Vida Tranquila,C,,,,
Bolivar,13 - 030,13 - 030 - 000,ALTOS DEL ROSARIO,Altos Del Rosario,CM,84,1994,Ordenanza 30 de diciembre 13 de 1994,Barranco De Loba
Bolivar,13 - 030,13 - 030 - 001,ALTOS DEL ROSARIO,El Rubio,C,8,,,
Bolivar,13 - 030,13 - 030 - 002,ALTOS DEL ROSARIO,La Pacha,C,63,,,
Bolivar,13 - 030,13 - 030 - 003,ALTOS DEL ROSARIO,San Isidro,C,13,,,
Bolivar,13 - 030,13 - 030 - 004,ALTOS DEL ROSARIO,Santa Lucía,C,,,,
Bolivar,13 - 042,13 - 042 - 000,ARENAL,Arenal,CM,56,1996,Ordenanza 18 de mayo 16 de 1996,Morales
Bolivar,13 - 042,13 - 042 - 001,ARENAL,Buenavista,C,18,,,
Bolivar,13 - 042,13 - 042 - 002,ARENAL,Carnizala,C,,,,
Bolivar,13 - 042,13 - 042 - 003,ARENAL,San Rafael,C,,,,
Bolivar,13 - 042,13 - 042 - 004,ARENAL,La Bonita,CAS,,,,
Bolivar,13 - 042,13 - 042 - 005,ARENAL,Las Sabanas,CAS,,,,
Bolivar,13 - 042,13 - 042 - 006,ARENAL,Los Peñones,CAS,,,,
Bolivar,13 - 042,13 - 042 - 007,ARENAL,Santo Domingo,CAS,,,,
Bolivar,13 - 042,13 - 042 - 008,ARENAL,Soya,CAS,,,,
Bolivar,13 - 052,13 - 052 - 000,ARJONA,Arjona,CM,694,1770,,
Bolivar,13 - 052,13 - 052 - 001,ARJONA,Puerto Badel (Caño Salado),C,55,,,
Bolivar,13 - 052,13 - 052 - 002,ARJONA,Gambote,C,26,,,
Bolivar,13 - 052,13 - 052 - 003,ARJONA,Rocha,C,53,,,
Bolivar,13 - 052,13 - 052 - 004,ARJONA,Sincerín,C,60,,,
Bolivar,13 - 052,13 - 052 - 005,ARJONA,San Rafael De La Cruz,CAS,10,,,
Bolivar,13 - 052,13 - 052 - 006,ARJONA,Cruz Del Vizo,CAS,2,,,
Bolivar,13 - 062,13 - 062 - 000,ARROYOHONDO,Arroyohondo,CM,82,1997,Ordenanza 41 de diciembre 2 de 1997,Calamar y Mahates
Bolivar,13 - 062,13 - 062 - 001,ARROYOHONDO,Machado,C,28,,,
Bolivar,13 - 062,13 - 062 - 002,ARROYOHONDO,Monroy,C,12,,,
Bolivar,13 - 062,13 - 062 - 003,ARROYOHONDO,Pilón,C,12,,,
Bolivar,13 - 062,13 - 062 - 004,ARROYOHONDO,Sato,C,21,,,
Bolivar,13 - 062,13 - 062 - 006,ARROYOHONDO,San Francisco (Solabanda),C,3,,,
Bolivar,13 - 074,13 - 074 - 000,BARRANCO DE LOBA,Barranco De Loba,CM,123,1931,Ordenanza 29 del 29 de Abril de 1931,
Bolivar,13 - 074,13 - 074 - 003,BARRANCO DE LOBA,Rionuevo,IPD,17,,,
Bolivar,13 - 074,13 - 074 - 004,BARRANCO DE LOBA,San Antonio,IPD,53,,,
Bolivar,13 - 074,13 - 074 - 005,BARRANCO DE LOBA,Los Cerritos,IPD,,,,
Bolivar,13 - 074,13 - 074 - 006,BARRANCO DE LOBA,Las Delicias,C,,,,
Bolivar,13 - 140,13 - 140 - 000,CALAMAR,Calamar,CM,132,1923,Ordenanza 42 del 27 de Abril de 1923,
Bolivar,13 - 140,13 - 140 - 002,CALAMAR,Barranca Nueva,C,61,,,
Bolivar,13 - 140,13 - 140 - 003,CALAMAR,Barranca Vieja,C,53,,,
Bolivar,13 - 140,13 - 140 - 004,CALAMAR,Hato Viejo,C,88,,,
Bolivar,13 - 140,13 - 140 - 009,CALAMAR,Yucal,C,46,,,
Bolivar,13 - 160,13 - 160 - 000,CANTAGALLO,Cantagallo,CM,50,1994,Ordenanza 30 de diciembre 13 de 1994,San Pablo
Bolivar,13 - 160,13 - 160 - 001,CANTAGALLO,San Lorenzo,C,,,,
Bolivar,13 - 160,13 - 160 - 002,CANTAGALLO,Brisas De Bolivar,CAS,,,,
Bolivar,13 - 160,13 - 160 - 003,CANTAGALLO,Cagui,CAS,,,,
Bolivar,13 - 160,13 - 160 - 004,CANTAGALLO,El Bagre,CAS,,,,
Bolivar,13 - 160,13 - 160 - 005,CANTAGALLO,El Caraño,CAS,,,,
Bolivar,13 - 160,13 - 160 - 006,CANTAGALLO,El Cedro,CAS,,,,
Bolivar,13 - 160,13 - 160 - 007,CANTAGALLO,El Firme,CAS,,,,
Bolivar,13 - 160,13 - 160 - 008,CANTAGALLO,La Esperanza,CAS,,,,
Bolivar,13 - 160,13 - 160 - 009,CANTAGALLO,La Nutria,CAS,,,,
Bolivar,13 - 160,13 - 160 - 010,CANTAGALLO,La Poza,CAS,,,,
Bolivar,13 - 160,13 - 160 - 011,CANTAGALLO,La Victoria (Sepultura),CAS,,,,
Bolivar,13 - 160,13 - 160 - 012,CANTAGALLO,Las Pavas,CAS,,,,
Bolivar,13 - 160,13 - 160 - 013,CANTAGALLO,Lejanía,CAS,,,,
Bolivar,13 - 160,13 - 160 - 014,CANTAGALLO,Los Coroncoros,CAS,,,,
Bolivar,13 - 160,13 - 160 - 015,CANTAGALLO,Los Paticos,CAS,,,,
Bolivar,13 - 160,13 - 160 - 016,CANTAGALLO,Muriba,CAS,,,,
Bolivar,13 - 160,13 - 160 - 017,CANTAGALLO,No Hay Como Dios,CAS,,,,
Bolivar,13 - 160,13 - 160 - 019,CANTAGALLO,Sinzona,CAS,,,,
Bolivar,13 - 160,13 - 160 - 020,CANTAGALLO,Yanacué,CAS,,,,
Bolivar,13 - 188,13 - 188 - 000,CICUCO,Cicuco,CM,133,1994,Ordenanza 30 de diciembre 30 de 1994,Talaigua Nuevo
Bolivar,13 - 188,13 - 188 - 001,CICUCO,Campo Sereno,C,,,,
Bolivar,13 - 188,13 - 188 - 002,CICUCO,La Peña,C,26,,,
Bolivar,13 - 188,13 - 188 - 003,CICUCO,San Francisco De Loba,C,15,,,
Bolivar,13 - 188,13 - 188 - 004,CICUCO,San Javier,C,,,,
Bolivar,13 - 188,13 - 188 - 005,CICUCO,Pueblo Nuevo,CP,,,,
Bolivar,13 - 212,13 - 212 - 000,Cordoba,Cordoba,CM,125,1909,,
Bolivar,13 - 212,13 - 212 - 001,Cordoba,Guaimaral,C,37,,,
Bolivar,13 - 212,13 - 212 - 002,Cordoba,Isla De Cordoba,CAS,,,,
Bolivar,13 - 212,13 - 212 - 003,Cordoba,La Montaña De Alonso (Martín Alonso),CAS,15,,,
Bolivar,13 - 212,13 - 212 - 005,Cordoba,San Andrés,C,45,,,
Bolivar,13 - 212,13 - 212 - 006,Cordoba,Sincelejito,C,7,,,
Bolivar,13 - 212,13 - 212 - 007,Cordoba,Tacamochito,CAS,27,,,
Bolivar,13 - 212,13 - 212 - 008,Cordoba,Tacamocho,C,38,,,
Bolivar,13 - 212,13 - 212 - 009,Cordoba,Santa Lucía,CAS,17,,,
Bolivar,13 - 212,13 - 212 - 010,Cordoba,La Sierra,CP,,,,
Bolivar,13 - 212,13 - 212 - 011,Cordoba,Las Marías,CP,,,,
Bolivar,13 - 212,13 - 212 - 012,Cordoba,Pueblo Nuevo,CP,,,,
Bolivar,13 - 212,13 - 212 - 013,Cordoba,Sanahuare,CP,,,,
Bolivar,13 - 212,13 - 212 - 014,Cordoba,Socorro 1,CP,,,,
Bolivar,13 - 222,13 - 222 - 000,CLEMENCIA,Clemencia,CM,142,1995,Ordenanza 017 del 3 de Agosto de 1995,Santa Catalina
Bolivar,13 - 222,13 - 222 - 001,CLEMENCIA,Las Caras,C,20,,,
Bolivar,13 - 222,13 - 222 - 002,CLEMENCIA,El Peñique,C,8,,,
Bolivar,13 - 222,13 - 222 - 003,CLEMENCIA,El Socorro,C,4,,,
Bolivar,13 - 244,13 - 244 - 000,EL CARMEN DE Bolivar,El Carmen De Bolivar,CM,798,1857,Ley 13 de 1857,
Bolivar,13 - 244,13 - 244 - 001,EL CARMEN DE Bolivar,Bajo Grande,C,11,,,
Bolivar,13 - 244,13 - 244 - 002,EL CARMEN DE Bolivar,Caracolí Grande,C,16,,,
Bolivar,13 - 244,13 - 244 - 003,EL CARMEN DE Bolivar,El Salado,C,36,,,
Bolivar,13 - 244,13 - 244 - 004,EL CARMEN DE Bolivar,Jesús Del Monte,C,15,,,
Bolivar,13 - 244,13 - 244 - 005,EL CARMEN DE Bolivar,Macayepos,C,31,,,
Bolivar,13 - 244,13 - 244 - 006,EL CARMEN DE Bolivar,San Carlos,C,,,,
Bolivar,13 - 244,13 - 244 - 007,EL CARMEN DE Bolivar,San Isidro,C,13,,,
Bolivar,13 - 244,13 - 244 - 008,EL CARMEN DE Bolivar,Hato Nuevo,C,,,,
Bolivar,13 - 244,13 - 244 - 011,EL CARMEN DE Bolivar,El Raizal,C,5,,,
Bolivar,13 - 244,13 - 244 - 014,EL CARMEN DE Bolivar,Santa Lucía,C,5,,,
Bolivar,13 - 244,13 - 244 - 017,EL CARMEN DE Bolivar,Santo Domingo De Meza,C,5,,,
Bolivar,13 - 244,13 - 244 - 018,EL CARMEN DE Bolivar,El Hobo,C,8,,,
Bolivar,13 - 248,13 - 248 - 000,EL GUAMO,El Guamo,CM,121,1853,,
Bolivar,13 - 248,13 - 248 - 001,EL GUAMO,La Enea,C,11,,,
Bolivar,13 - 248,13 - 248 - 002,EL GUAMO,San José De Lata,C,23,,,
Bolivar,13 - 248,13 - 248 - 003,EL GUAMO,Nervití,C,44,,,
Bolivar,13 - 248,13 - 248 - 004,EL GUAMO,Robles,C,45,,,
Bolivar,13 - 248,13 - 248 - 005,EL GUAMO,Tasajera,C,15,,,
Bolivar,13 - 268,13 - 268 - 000,EL PEÑÓN,El Peñón,CM,77,1995,Ordenanza 42 de Noviembre 1 de 1995,San Martin De Loba
Bolivar,13 - 268,13 - 268 - 003,EL PEÑÓN,Buenos Aires,C,25,,,
Bolivar,13 - 268,13 - 268 - 004,EL PEÑÓN,Castañal,C,,,,
Bolivar,13 - 268,13 - 268 - 006,EL PEÑÓN,La Chapetona,C,37,,,
Bolivar,13 - 268,13 - 268 - 008,EL PEÑÓN,Japón,C,,,,
Bolivar,13 - 268,13 - 268 - 013,EL PEÑÓN,La Humareda,C,,,,
Bolivar,13 - 268,13 - 268 - 017,EL PEÑÓN,Peñoncito,C,46,,,
Bolivar,13 - 300,13 - 300 - 000,HATILLO DE LOBA,Hatillo De Loba,CM,32,1994,Ordenanza 30 de diciembre 13 de 1994,San Martín De Loba Y San Fernando
Bolivar,13 - 300,13 - 300 - 001,HATILLO DE LOBA,El Pozón,C,6,,,
Bolivar,13 - 300,13 - 300 - 002,HATILLO DE LOBA,Juana Sánchez,C,44,,,
Bolivar,13 - 300,13 - 300 - 003,HATILLO DE LOBA,La Ribona,C,,,,
Bolivar,13 - 300,13 - 300 - 004,HATILLO DE LOBA,La Victoria,C,44,,,
Bolivar,13 - 300,13 - 300 - 005,HATILLO DE LOBA,Pueblo Nuevo,C,15,,,
Bolivar,13 - 300,13 - 300 - 006,HATILLO DE LOBA,San Miguel,C,21,,,
Bolivar,13 - 300,13 - 300 - 007,HATILLO DE LOBA,Cerro De Las Aguadas,C,,,,
Bolivar,13 - 300,13 - 300 - 008,HATILLO DE LOBA,Las Brisas,C,,,,
Bolivar,13 - 300,13 - 300 - 009,HATILLO DE LOBA,Guacalí,CP,,,,
Bolivar,13 - 430,13 - 430 - 000,MAGANGUÉ,Magangué,CM,1231,1813,,
Bolivar,13 - 430,13 - 430 - 001,MAGANGUÉ,Barbosa,C,23,,,
Bolivar,13 - 430,13 - 430 - 002,MAGANGUÉ,Barranca De Yuca,C,62,,,
Bolivar,13 - 430,13 - 430 - 003,MAGANGUÉ,Betania,C,19,,,
Bolivar,13 - 430,13 - 430 - 004,MAGANGUÉ,Boca De San Antonio,C,10,,,
Bolivar,13 - 430,13 - 430 - 006,MAGANGUÉ,Cascajal,C,54,,,
Bolivar,13 - 430,13 - 430 - 007,MAGANGUÉ,Ceibal,C,24,,,
Bolivar,13 - 430,13 - 430 - 008,MAGANGUÉ,Coyongal,C,11,,,
Bolivar,13 - 430,13 - 430 - 009,MAGANGUÉ,El Retiro,C,41,,,
